ONTOLOGY,ONT_DESCRIPTION,FDR,EA_VALUE,sample,GROUP,GROUP_1,GROUP_2,KEGG_up_DOWN,interaction_entry,reaction_entry,interaction_name,reaction_name
ec00600,Sphingolipid metabolism,0,3.95173073020688,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,1,1.3,Metabolism,Lipid metabolism
ec00140,Steroid hormone biosynthesis,0,8.95900657264138,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,1,1.3,Metabolism,Lipid metabolism
ec00604,Glycosphingolipid biosynthesis - ganglio series,0,2.99170071698404,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00603,Glycosphingolipid biosynthesis - globo and isoglobo series,1.18793863634892e-14,3.36188651129899,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00052,Galactose metabolism,1.59183777270755e-11,1.84431822447382,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,1,1.1,Metabolism,Carbohydrate metabolism
ec00940,Phenylpropanoid biosynthesis,1.19988441363295e-06,3.39665960950365,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,1,1.10,Metabolism,Biosynthesis of other secondary metabolites
ec00513,Various types of N-glycan biosynthesis,1.20247897225953e-06,2.97892526236711,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00520,Amino sugar and nucleotide sugar metabolism,0.00145877310139246,1.32666267388996,FECAL,fecal.Control.control_vs_fecal.CU.6.meses,control,CU.6.meses,DOWN,1,1.1,Metabolism,Carbohydrate metabolism
ec00600,Sphingolipid metabolism,0.00141731894395769,2.1566200895128,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,1,1.3,Metabolism,Lipid metabolism
ec00531,Glycosaminoglycan degradation,0.00295077937979545,2.03902223184572,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00140,Steroid hormone biosynthesis,0.00295077937979545,4.73996585985031,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,1,1.3,Metabolism,Lipid metabolism
ec00910,Nitrogen metabolism,0.00372893791986328,2.2260120042755,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,1,1.2,Metabolism,Energy metabolism
ec00511,Other glycan degradation,0.00449114609771435,1.91591673055375,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00604,Glycosphingolipid biosynthesis - ganglio series,0.00693813252598223,1.93482219867419,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec01051,Biosynthesis of ansamycins,0.0205846937189667,3.02454964390448,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,1,1.9,Metabolism,Metabolism of terpenoids and polyketides
ec00130,Ubiquinone and other terpenoid-quinone biosynthesis,0.0205846937189667,2.2280943354301,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,1,1.8,Metabolism,Metabolism of cofactors and vitamins
ec00633,Nitrotoluene degradation,0.0205846937189667,3.36824846707545,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,1,1.11,Metabolism,Xenobiotics biodegradation and metabolism
ec00603,Glycosphingolipid biosynthesis - globo and isoglobo series,0.0315696275091917,1.96710214280092,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00970,Aminoacyl-tRNA biosynthesis,0.0462281817086957,1.32563619727558,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,2,2.2,Genetic Information Processing,Translation
ec00513,Various types of N-glycan biosynthesis,0.0571461635219146,2.16709357240054,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00630,Glyoxylate and dicarboxylate metabolism,0.0778221403605651,1.52178598435446,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,1,1.1,Metabolism,Carbohydrate metabolism
ec00073,"Cutin, suberine and wax biosynthesis",0.0840818282164186,6.61620234604106,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,1,1.3,Metabolism,Lipid metabolism
ec00940,Phenylpropanoid biosynthesis,0.101605521917705,2.17147153921347,FECAL,fecal.Control.control_vs_fecal.CU.debut,control,CU.debut,DOWN,1,1.10,Metabolism,Biosynthesis of other secondary metabolites
ec00511,Other glycan degradation,0,2.61370052503129,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00531,Glycosaminoglycan degradation,0,2.71871723505365,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00901,Indole alkaloid biosynthesis,0,53.3467980295567,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,1,1.10,Metabolism,Biosynthesis of other secondary metabolites
ec00600,Sphingolipid metabolism,0,2.7118473193139,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,1,1.3,Metabolism,Lipid metabolism
ec00604,Glycosphingolipid biosynthesis - ganglio series,0,2.68975452249865,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00603,Glycosphingolipid biosynthesis - globo and isoglobo series,9.54791801177635e-15,2.82704986116715,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00513,Various types of N-glycan biosynthesis,1.10911889196684e-09,2.97841924482636,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00052,Galactose metabolism,1.01700217997047e-07,1.52788980566544,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,1,1.1,Metabolism,Carbohydrate metabolism
ec00520,Amino sugar and nucleotide sugar metabolism,7.25291392130364e-07,1.38775547792022,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,1,1.1,Metabolism,Carbohydrate metabolism
ec00140,Steroid hormone biosynthesis,1.31019552329414e-05,3.58299389750754,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,UP,1,1.3,Metabolism,Lipid metabolism
ec00511,Other glycan degradation,0,2.61370052503129,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00531,Glycosaminoglycan degradation,0,2.71871723505365,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00901,Indole alkaloid biosynthesis,0,53.3467980295567,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,1,1.10,Metabolism,Biosynthesis of other secondary metabolites
ec00600,Sphingolipid metabolism,0,2.7118473193139,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,1,1.3,Metabolism,Lipid metabolism
ec00604,Glycosphingolipid biosynthesis - ganglio series,0,2.68975452249865,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00603,Glycosphingolipid biosynthesis - globo and isoglobo series,9.54791801177635e-15,2.82704986116715,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00513,Various types of N-glycan biosynthesis,1.10911889196684e-09,2.97841924482636,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00052,Galactose metabolism,1.01700217997047e-07,1.52788980566544,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,1,1.1,Metabolism,Carbohydrate metabolism
ec00520,Amino sugar and nucleotide sugar metabolism,7.25291392130364e-07,1.38775547792022,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,1,1.1,Metabolism,Carbohydrate metabolism
ec00140,Steroid hormone biosynthesis,1.31019552329414e-05,3.58299389750754,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,1,1.3,Metabolism,Lipid metabolism
ec00250,"Alanine, aspartate and glutamate metabolism",0.0660598785991446,1.22186528420991,FECAL,fecal.Control.control_vs_fecal.EC.6.meses,control,EC.6.meses,DOWN,1,1.5,Metabolism,Amino acid metabolism
ec00280,"Valine, leucine and isoleucine degradation",3.86115879269511e-06,1.77839566461249,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,UP,1,1.5,Metabolism,Amino acid metabolism
ec00480,Glutathione metabolism,3.86115879269511e-06,1.61408441858544,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,UP,1,1.6,Metabolism,Metabolism of other amino acids
ec00643,Styrene degradation,0.00079413087257646,3.45149158592555,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,UP,1,1.11,Metabolism,Xenobiotics biodegradation and metabolism
ec00361,Chlorocyclohexane and chlorobenzene degradation,0.00079413087257646,3.68159102498725,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,UP,1,1.11,Metabolism,Xenobiotics biodegradation and metabolism
ec00280,"Valine, leucine and isoleucine degradation",3.86115879269511e-06,1.77839566461249,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.5,Metabolism,Amino acid metabolism
ec00480,Glutathione metabolism,3.86115879269511e-06,1.61408441858544,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.6,Metabolism,Metabolism of other amino acids
ec00643,Styrene degradation,0.00079413087257646,3.45149158592555,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.11,Metabolism,Xenobiotics biodegradation and metabolism
ec00361,Chlorocyclohexane and chlorobenzene degradation,0.00079413087257646,3.68159102498725,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.11,Metabolism,Xenobiotics biodegradation and metabolism
ec00130,Ubiquinone and other terpenoid-quinone biosynthesis,0.00103554698836161,1.65309980541991,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.8,Metabolism,Metabolism of cofactors and vitamins
ec00620,Pyruvate metabolism,0.00103554698836161,1.2647747690707,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.1,Metabolism,Carbohydrate metabolism
ec00785,Lipoic acid metabolism,0.00141815436714575,2.09619384276107,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.8,Metabolism,Metabolism of cofactors and vitamins
ec00903,Limonene and pinene degradation,0.00185483796245861,2.67752074544527,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.9,Metabolism,Metabolism of terpenoids and polyketides
ec00020,Citrate cycle (TCA cycle),0.00244813612486006,1.37208756420461,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.1,Metabolism,Carbohydrate metabolism
ec01120,Microbial metabolism in diverse environments,0.00244813612486006,1.09603216850934,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.0,Metabolism,Global and overview maps
ec00260,"Glycine, serine and threonine metabolism",0.00476614220985297,1.20512700242155,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.5,Metabolism,Amino acid metabolism
ec00071,Fatty acid degradation,0.00487616914926844,1.55152764624463,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.3,Metabolism,Lipid metabolism
ec00515,Mannose type O-glycan biosynthesis,0.00670502348405266,2.4466269469852,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00514,Other types of O-glycan biosynthesis,0.00961303298637928,2.88962086263534,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00072,Synthesis and degradation of ketone bodies,0.00961303298637928,2.1532241086508,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,,,,
ec00073,"Cutin, suberine and wax biosynthesis",0.0120645214381701,4.60198878123406,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.3,Metabolism,Lipid metabolism
ec00625,Chloroalkane and chloroalkene degradation,0.0150258218449117,1.73738003426365,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.11,Metabolism,Xenobiotics biodegradation and metabolism
ec00622,Xylene degradation,0.0201472045750908,2.25403532142077,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.11,Metabolism,Xenobiotics biodegradation and metabolism
ec00930,Caprolactam degradation,0.0206675449227674,1.85938940655922,FECAL,fecal.Control.control_vs_oral.EC.3.meses,control,EC.3.meses,DOWN,1,1.11,Metabolism,Xenobiotics biodegradation and metabolism
ec00480,Glutathione metabolism,2.3391760517022e-05,1.77491615773536,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,UP,1,1.6,Metabolism,Metabolism of other amino acids
ec00620,Pyruvate metabolism,0.000244395414469967,1.39612908648897,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,UP,1,1.1,Metabolism,Carbohydrate metabolism
ec00280,"Valine, leucine and isoleucine degradation",0.000434617290180239,1.79777948451297,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,UP,1,1.5,Metabolism,Amino acid metabolism
ec00480,Glutathione metabolism,2.3391760517022e-05,1.77491615773536,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.6,Metabolism,Metabolism of other amino acids
ec00620,Pyruvate metabolism,0.000244395414469967,1.39612908648897,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.1,Metabolism,Carbohydrate metabolism
ec00280,"Valine, leucine and isoleucine degradation",0.000434617290180239,1.79777948451297,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.5,Metabolism,Amino acid metabolism
ec00404,Staurosporine biosynthesis,0.016687885609208,7.21885137837558,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.10,Metabolism,Biosynthesis of other secondary metabolites
ec00621,Dioxin degradation,0.016687885609208,3.11723127702582,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.11,Metabolism,Xenobiotics biodegradation and metabolism
ec00010,Glycolysis / Gluconeogenesis,0.0249461377291079,1.2090108812564,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.1,Metabolism,Carbohydrate metabolism
ec00515,Mannose type O-glycan biosynthesis,0.0249461377291079,2.60426916814815,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.7,Metabolism,Glycan biosynthesis and metabolism
ec00970,Aminoacyl-tRNA biosynthesis,0.0249461377291079,1.1864416769529,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,2,2.2,Genetic Information Processing,Translation
ec00071,Fatty acid degradation,0.0249461377291079,1.61106429174541,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.3,Metabolism,Lipid metabolism
ec00405,Phenazine biosynthesis,0.0249461377291079,2.09082585654171,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.10,Metabolism,Biosynthesis of other secondary metabolites
ec00020,Citrate cycle (TCA cycle),0.0249461377291079,1.37369513902833,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.1,Metabolism,Carbohydrate metabolism
ec00622,Xylene degradation,0.0249461377291079,2.79914645283951,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.11,Metabolism,Xenobiotics biodegradation and metabolism
ec00626,Naphthalene degradation,0.0249461377291079,2.21773170455071,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.11,Metabolism,Xenobiotics biodegradation and metabolism
ec00625,Chloroalkane and chloroalkene degradation,0.0425482100949782,1.84932372389846,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.11,Metabolism,Xenobiotics biodegradation and metabolism
ec00230,Purine metabolism,0.0483298601341129,1.11498758582224,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.4,Metabolism,Nucleotide metabolism
ec00830,Retinol metabolism,0.0483298601341129,2.01475287057488,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.8,Metabolism,Metabolism of cofactors and vitamins
ec00072,Synthesis and degradation of ketone bodies,0.0579899425124459,2.09721981940575,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,,,,
ec00520,Amino sugar and nucleotide sugar metabolism,0.0579899425124459,1.15315974046257,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.1,Metabolism,Carbohydrate metabolism
ec00982,Drug metabolism - cytochrome P450,0.0579899425124459,1.81516196776359,FECAL,fecal.Control.control_vs_oral.EC.6.meses,control,EC.6.meses,DOWN,1,1.11,Metabolism,Xenobiotics biodegradation and metabolism
ec00480,Glutathione metabolism,2.03938208209742e-07,1.61996626149239,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,1,1.6,Metabolism,Metabolism of other amino acids
ec00280,"Valine, leucine and isoleucine degradation",1.54217673587476e-05,1.6510251366943,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,1,1.5,Metabolism,Amino acid metabolism
ec00643,Styrene degradation,8.89944246253771e-05,3.46903429718532,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,1,1.11,Metabolism,Xenobiotics biodegradation and metabolism
ec00130,Ubiquinone and other terpenoid-quinone biosynthesis,8.89944246253771e-05,1.68746289479548,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,1,1.8,Metabolism,Metabolism of cofactors and vitamins
ec00361,Chlorocyclohexane and chlorobenzene degradation,8.89944246253771e-05,3.75812048861743,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,1,1.11,Metabolism,Xenobiotics biodegradation and metabolism
ec00903,Limonene and pinene degradation,9.8985734911757e-05,2.86983746403513,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,1,1.9,Metabolism,Metabolism of terpenoids and polyketides
ec00625,Chloroalkane and chloroalkene degradation,0.000204409955196994,2.02685149947907,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,1,1.11,Metabolism,Xenobiotics biodegradation and metabolism
ec00830,Retinol metabolism,0.000416234386120568,2.21665411870994,FECAL,fecal.Control.control_vs_oral.EC.debut,control,EC.debut,UP,1,1.8,Metabolism,Metabolism of cofactors and vitamins
